,Respondent_Serial,valid,YEAR,Intro,Postpone_DT,Postpone_TM,Rec_1,D1,D2,Q1_1_Q1,Q1_2_Q1,Q1_3_Q1,Q1_4_Q1,Q1_5_Q1,Q1_6_Q1,Q1_7_Q1,Q1_8_Q1,Q1_9_Q1,Q1_10_Q1,Q2,Q3_1_Q3,Q3_2_Q3,Q3_3_Q3,Q3_4_Q3,Q3_5_Q3,Q3_6_Q3,Q3_7_Q3,Q3_8_Q3,Q3_9_Q3,Q3_10_Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q9b,Q10,Q111,Q112,Q113,Q12_1_Q12,Q12_2_Q12,Q12_3_Q12,Q12_4_Q12,Q12_5_Q12,Q12_6_Q12,Q12_7_Q12,Q12_8_Q12,Q12_9_Q12,Q12_10_Q12,Q13,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q8_1,Q8_2,Q8_3,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10
20,4047143.0,1.0,1986.0,Yes,,,Yes,Onitsha,Dealer,Quite Satisfied,Quite Satisfied,Neither Satisfied Nor Dissatisfied,Extremely Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Quite Satisfied,Cocoa cola plc,Neither Better or Worse,Slightly Better,Slightly Worse,Neither Better or Worse,Slightly Better,Slightly Worse,Slightly Better,Slightly Better,Neither Better or Worse,Slightly Better,Extremely Satisfied,Quite Satisfied,Reduce price of products.,Fast delivery,Delaying delivery,8,7,None,Pricing of product,Delivery time to location from the time of order,Delivery quality,,,Rank 2,,,,,Rank 1,Rank 3,,Strongly Agree, The Coca-Cola Company,,,,, The price of the product should be reduced / They should reduce the product price,,,,,Delivery of product on time/Once we pay into their account they should supply us on time/More faster in supply/Swift de,,,,,Delay in supply / Delaying delivery of goods / They should be delivering promptly,,, Nothing / none,,,,,,,Rank 2,,,,,Rank 1,Rank 3,
21,4047142.0,1.0,1994.0,Yes,,,Yes,Onitsha,Dealer,Extremely Satisfied,Quite Satisfied,Quite Satisfied,Extremely Satisfied,Quite Satisfied,Quite Satisfied,Extremely Satisfied,Neither Satisfied Nor Dissatisfied,Quite Dissatisfied,Quite Satisfied,Pepsi plc,Neither Better or Worse,Slightly Better,Slightly Worse,Neither Better or Worse,Neither Better or Worse,Slightly Better,Slightly Better,Slightly Better,Neither Better or Worse,Neither Better or Worse,Quite Satisfied,Quite Satisfied,Resolving complaint fast enough.,Continue delivering quality products,They should stop delaying of supply.,7,7,None,Quality,Pricing of product,Delivery time to location from the time of order,Rank 1,,Rank 3,,,,,Rank 2,,,Agree, 7up bottle company,,,,, They should be attending to customers queries on time / They should timely respond to customer complaints,,,,,Delivery of product on time/Once we pay into their account they should supply us on time/More faster in supply/Swift de,They should bring down the quantity of target they give to we buyers,,,,Delay in supply / Delaying delivery of goods / They should be delivering promptly,,, Nothing / none,,,,,Rank 1,,Rank 3,,,,,Rank 2,,
22,4047005.0,1.0,1980.0,Yes,,,Yes,Lagos,Dealer,Neither Satisfied Nor Dissatisfied,Quite Dissatisfied,Quite Dissatisfied,Quite Dissatisfied,Neither Satisfied Nor Dissatisfied,Quite Dissatisfied,Neither Satisfied Nor Dissatisfied,Extremely Dissatisfied,Quite Dissatisfied,Neither Satisfied Nor Dissatisfied,"Pepsi
Coke 
Razzle 
Planet",Slightly Better,Better,Slightly Better,Slightly Better,Slightly Better,Slightly Better,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Extremely Dissatisfied,Extremely Dissatisfied,"They should quick delivery after collecting payment
They should pay off loader fee",Nothing,"They should stop people's order 
Then conversion of products by increment should also stop",0-Not likely,7,Am angry with the company so I don't have anything to say thank they should just fix their system of deliver and relationships,Quality,Pricing of product,Packaging of product,Rank 2,,Rank 1,Rank 3,,,,,,,Disagree, 7up bottle company, The Coca-Cola Company, Razzle,,, They should deliver goods on time/ Quick delivery / They should make the delivery more easier for us,,,,,Nothing,,,,,Delay in supply / Delaying delivery of goods / They should be delivering promptly,They should stop increasing the prices when the product is moving very well in the market /They should reduce much incr,, Nothing / none,,,,,Rank 2,,Rank 1,Rank 3,,,,,,
23,4047004.0,1.0,1984.0,Yes,,,Yes,Lagos,Dealer,Quite Satisfied,Extremely Satisfied,Quite Satisfied,Quite Satisfied,Extremely Satisfied,Quite Satisfied,Quite Satisfied,Extremely Satisfied,Extremely Satisfied,Quite Satisfied,"Pepsi
Coke",Slightly Better,Neither Better or Worse,Neither Better or Worse,Slightly Better,Neither Better or Worse,Slightly Better,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Extremely Satisfied,Extremely Satisfied,Nothing,They should still maintain the quality of their products,They should stop the increase in price,10-Extremely  likely,8,"The new lacasera is good in the market, well blended and accepted by all compare to lacasera before",Quality,Pricing of product,Packaging of product,Rank 2,,Rank 1,Rank 3,,,,,,,Agree, 7up bottle company, The Coca-Cola Company,,,, Nothing /none,,,,,They should activate a app whereby the distributor can book a product directly and also laid complaint.,,,,,They should stop increasing the prices when the product is moving very well in the market /They should reduce much incr,,, It is well blended and accepted by all compare to lacasera before,,,,,Rank 2,,Rank 1,Rank 3,,,,,,
24,4046976.0,1.0,2024.0,Yes,,,Yes,Aba,Dealer,Quite Dissatisfied,Quite Dissatisfied,Quite Satisfied,Extremely Satisfied,Extremely Dissatisfied,Quite Dissatisfied,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Quite Satisfied,Quite Satisfied,7up,Better,Better,Neither Better or Worse,Slightly Worse,Neither Better or Worse,Better,Neither Better or Worse,Slightly Better,Neither Better or Worse,Neither Better or Worse,Quite Dissatisfied,Quite Dissatisfied,Start behaving like others,Keep up with the quality of their products,They should stop making their products scarce,3,8,Prompt response,Quality,Quality of complaint resolution,Delivery time to location from the time of order,Rank 2,,,,,Rank 3,,Rank 1,,,Neutral, 7up bottle company,,,,," They services and everything is very ok,they are topnotch",,,,,They should activate a app whereby the distributor can book a product directly and also laid complaint.,,,,,If they can stop using few outlet and increase on there outlets so we can be getting more products,,," Delivery issues should be look into, because it has affect price change, and it also affect sales and apply loss.",,,,,Rank 2,,,,,Rank 3,,Rank 1,,
25,4046975.0,1.0,2024.0,Yes,,,Yes,Aba,Dealer,Quite Satisfied,Quite Satisfied,Quite Dissatisfied,Extremely Satisfied,Quite Dissatisfied,Neither Satisfied Nor Dissatisfied,Quite Satisfied,Quite Satisfied,Quite Dissatisfied,Quite Satisfied,"Coke, and pepsi",Better,Better,Slightly Worse,Neither Better or Worse,Neither Better or Worse,Better,Neither Better or Worse,Better,Better,Neither Better or Worse,Quite Satisfied,Quite Satisfied,They need to give quick response,"Giving customers attention, very important",They should stop delaying delivery when we order for goods,6,7,"They should stop delay, and respond fast",Quality,Pricing of product,Behaviour of supplier representative,Rank 1,,Rank 2,,,,Rank 3,,,,Agree, The Coca-Cola Company, 7up bottle company,,,, They should be attending to customers queries on time / They should timely respond to customer complaints,,,,,"Create good customer relationship / Giving customers attention, very important/Develop good customer relationship",,,,,Delay in supply / Delaying delivery of goods / They should be delivering promptly,,," Delivery issues should be look into, because it has affect price change, and it also affect sales and apply loss.",,,,,Rank 1,,Rank 2,,,,Rank 3,,,
26,4046973.0,1.0,1977.0,Yes,,,Yes,Lagos,Dealer,Quite Satisfied,Extremely Satisfied,Extremely Satisfied,Quite Satisfied,Extremely Satisfied,Extremely Satisfied,Extremely Satisfied,Extremely Satisfied,Quite Satisfied,Extremely Satisfied,"Pepsi
Coca cola
American cola",Better,Better,Better,Better,Slightly Worse,Neither Better or Worse,Slightly Worse,Better,Neither Better or Worse,Slightly Worse,Extremely Satisfied,Extremely Satisfied,They should repack their water so as not to leak,"In the area of their promo, they should continue it because it helps alot",Nothing,9,9,"They should adjust the bottle, it leaks alot and some will not have cover",Quality,Ease of buying products,Packaging of product,Rank 1,Rank 3,,Rank 2,,,,,,,Strongly Agree, 7up bottle company, The Coca-Cola Company, Plannet Bottling Company,,," They services and everything is very ok,they are topnotch",,,,,They should continue doing promotion/They should continue doing their promo,,,,,None,,," They should adjust the bottle, it leaks alot and some will not have cover",,,,,Rank 1,Rank 3,,Rank 2,,,,,,
27,4046911.0,1.0,1969.0,Yes,,,Yes,Lagos,Dealer,Quite Satisfied,Quite Satisfied,Extremely Dissatisfied,Extremely Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Extremely Satisfied,"Pepsi
Coca cola",Slightly Better,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Better,Neither Better or Worse,Neither Better or Worse,Better,Better,Neither Better or Worse,Quite Satisfied,Quite Satisfied,They should reduce price and do dome promos,They should continue doing promotion,They stop the increment of price,8,9,Nothing,Ease of buying products,Pricing of product,Delivery time to location from the time of order,,Rank 2,Rank 1,,,,,Rank 3,,,Strongly Agree, 7up bottle company, The Coca-Cola Company,,,, The price of the product should be reduced / They should reduce the product price,,,,,They should continue doing promotion/They should continue doing their promo,,,,,They should stop increasing the prices when the product is moving very well in the market /They should reduce much incr,,, Nothing / none,,,,,,Rank 2,Rank 1,,,,,Rank 3,,
28,4046910.0,1.0,1972.0,Yes,,,Yes,Lagos,Retailer,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Quite Dissatisfied,Quite Satisfied,Quite Satisfied,Extremely Satisfied,Quite Dissatisfied,"Pepsi
American cola
Big",Better,Better,Neither Better or Worse,Neither Better or Worse,Better,Neither Better or Worse,Better,Better,Slightly Worse,Better,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,They should try and meet the demands of customer. They should be readily available. They should also bring fien their prices,They should continue with the quality. They should try and consider the masses,They should stop delaying deliveries,8,8,They should create awareness so that people will know Lacasera is still existing,Pricing of product,Packaging of product,Behaviour of supplier representative,,,Rank 1,Rank 3,,,Rank 2,,,,Agree, 7up bottle company, Plannet Bottling Company, Rite Foods Limited,,, They should be attending to customers queries on time / They should timely respond to customer complaints, They should give incentive to their customers / Incentives should be provided to customers,,,,They should activate a app whereby the distributor can book a product directly and also laid complaint.,,,,,Delay in supply / Delaying delivery of goods / They should be delivering promptly,,, Nothing / none,,,,,,,Rank 1,Rank 3,,,Rank 2,,,
29,4046854.0,1.0,1975.0,Yes,,,Yes,Port Harcourt,Dealer,Extremely Dissatisfied,Quite Dissatisfied,Quite Dissatisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Extremely Satisfied,Quite Dissatisfied,Quite Dissatisfied,Quite Satisfied,Coca-cola,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Extremely Dissatisfied,Quite Dissatisfied,They should improve in their services and let their yes be yes,They should work on their services,They should be delivering promptly,6,7,They should work on their services and be delivering products promptly,Ease of buying products,Pricing of product,Delivery time to location from the time of order,,Rank 1,Rank 3,,,,,Rank 2,,,Agree, The Coca-Cola Company,,,,," They services and everything is very ok,they are topnotch",,,,,The need to put efficient effort in their products,,,,,Delay in supply / Delaying delivery of goods / They should be delivering promptly,,," They should be supply me product on time/They should stop delay, and respond fast /Just improve in fastness in services",,,,,,Rank 1,Rank 3,,,,,Rank 2,,
30,4046824.0,1.0,1988.0,Yes,,,Yes,Benin,Dealer,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Dissatisfied,Quite Satisfied,Quite Dissatisfied,Quite Satisfied,Quite Satisfied,Cola company,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Extremely Satisfied,Quite Satisfied,"They should improve on their delivery on time

Also the goods should be made available all the time",The goods should be always available on time,When you meet your target they should always give us the goods they promise us and they should allow us to make choices please,9,6,The sale representative should always know why a dealer is not buying their products.,Pricing of product,Behaviour of supplier representative,Delivery time to location from the time of order,,,Rank 1,,,,Rank 3,Rank 2,,,Strongly Agree, The Coca-Cola Company,,,,, They should deliver goods on time/ Quick delivery / They should make the delivery more easier for us,,,,,Making sure that all their product is available  / Availability of products,,,,,Delay in supply / Delaying delivery of goods / They should be delivering promptly,Delays in responding to customer complain,, The sale representative should always know why a dealer is not buying their products.,,,,,,,Rank 1,,,,Rank 3,Rank 2,,
31,4046823.0,1.0,1994.0,Yes,,,Yes,Benin,Dealer,Extremely Satisfied,Extremely Satisfied,Quite Satisfied,Extremely Satisfied,Extremely Satisfied,Quite Satisfied,Quite Satisfied,Quite Dissatisfied,Quite Satisfied,Quite Satisfied,Cway company,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Extremely Satisfied,Quite Satisfied,They should give me more drinks as I pay they should deliver immediately,They should always give me the drink I pay for on time,They should stop dealing my goods,9,6,They should keep to timing,Quality,Delivery time to location from the time of order,Delivery quality,Rank 3,,,,,,,Rank 2,Rank 1,,Strongly Agree, CWAY Group,,,,, They should deliver goods on time/ Quick delivery / They should make the delivery more easier for us,,,,,Delivery of product on time/Once we pay into their account they should supply us on time/More faster in supply/Swift de,,,,,Delay in supply / Delaying delivery of goods / They should be delivering promptly,,, They should keep to timing,,,,,Rank 3,,,,,,,Rank 2,Rank 1,
32,4046646.0,1.0,1985.0,Yes,,,Yes,Onitsha,Retailer,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Coca cola,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Let them reduce much gas on it,"They should reduce price is getting much everytime
They can do smaller ml too",Just reduce gas on it,5,9,None,Quality,Pricing of product,Packaging of product,Rank 1,,Rank 2,Rank 3,,,,,,,Agree, The Coca-Cola Company,,,,, There should be gas reduction in the drink,,,,,Giving good prices to their dealers,,,,,They should just reduce the gas on it,,, Nothing / none,,,,,Rank 1,,Rank 2,Rank 3,,,,,,
33,4046645.0,1.0,1982.0,Yes,,,Yes,Onitsha,Dealer,Extremely Satisfied,Extremely Satisfied,Quite Dissatisfied,Quite Dissatisfied,Extremely Satisfied,Quite Satisfied,Extremely Satisfied,Extremely Satisfied,Extremely Satisfied,Extremely Satisfied,Pepsi and ripe fruit,Slightly Worse,Better,Slightly Worse,Slightly Worse,Better,Slightly Better,Slightly Better,Slightly Better,Slightly Better,Slightly Better,Extremely Satisfied,Extremely Satisfied,"They need advertisement,
The pricing is too high recently","Reduce the price
The bottle of gold and Smoove should be change not too strong and it durability is not long",The bottle has to be more solid,9,10-Extremely  likely,None,Quality,Response of staff to requests,Supplier relationship with you,Rank 3,,,,Rank 2,,,,,Rank 1,Strongly Agree, 7up bottle company,,,,, They should improve on the quality of packaging/The quality of the outer package should be more stronger compared to ot,,,,,Giving good prices to their dealers,,,,,The bottle has to be more solid,,, Nothing / none,,,,,Rank 3,,,,Rank 2,,,,,Rank 1
34,4046644.0,1.0,1984.0,Yes,,,Yes,Onitsha,Retailer,Quite Satisfied,Extremely Satisfied,Quite Satisfied,Extremely Satisfied,Extremely Satisfied,Extremely Satisfied,Extremely Satisfied,Extremely Satisfied,Extremely Satisfied,Extremely Satisfied,Pepsi company,Better,Better,Better,Better,Better,Better,Better,Better,Better,Better,Extremely Satisfied,Extremely Satisfied,There should be gas reduction in the drink,They should continue with the normal price is quite cheaper,The should reduce the gas and get tricycle to be bringing the products to our door setps,8,9,Nothing just reduce the gas it very fine,Quality,Pricing of product,Quality of complaint resolution,Rank 2,,Rank 1,,,Rank 3,,,,,Agree, 7up bottle company,,,,, There should be gas reduction in the drink,,,,,Quick response to customers / They should keep resolving issues fast as usual.,Giving good prices to their dealers,,,,They should just reduce the gas on it,Delay in supply / Delaying delivery of goods / They should be delivering promptly,, Nothing / none, They should just reduce that gas,,,,Rank 2,,Rank 1,,,Rank 3,,,,
35,4046211.0,1.0,1990.0,Yes,,,Yes,Port Harcourt,Dealer,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Neither Satisfied Nor Dissatisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Extremely Satisfied,Coca Cola,Better,Better,Slightly Better,Better,Better,Better,Slightly Better,Slightly Better,Slightly Better,Better,Quite Satisfied,Quite Satisfied,"Quick delivering
Good Packaging ( They should provide storage container to use in storing it.)
They should resolve our query on time.","They should continue with quality of the product
They should activate a app whereby the distributor can book a product directly and also laid complaint.",Delayed of complaints,10-Extremely  likely,10-Extremely  likely,None,Pricing of product,Packaging of product,Quality of complaint resolution,,,Rank 2,Rank 3,,Rank 1,,,,,Agree, The Coca-Cola Company,,,,, They should deliver goods on time/ Quick delivery / They should make the delivery more easier for us,,,,,They should activate a app whereby the distributor can book a product directly and also laid complaint.,,,,,Delay in supply / Delaying delivery of goods / They should be delivering promptly,,, Nothing / none,,,,,,,Rank 2,Rank 3,,Rank 1,,,,
36,4046154.0,1.0,1970.0,Yes,,,Yes,Lagos,Dealer,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Quite Satisfied,Quite Satisfied,"Rc
Bigi
American Cola",Slightly Better,Slightly Better,Slightly Worse,Better,Slightly Better,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Quite Satisfied,Neither Satisfied Nor Dissatisfied,Nothing,Still maintain the quality of their products,"Stop increasing their prices 
Stop the production of bold",7,7,Nothing,Quality,Pricing of product,Packaging of product,Rank 1,,Rank 2,Rank 3,,,,,,,Agree, RC Cola International, Rite Foods Limited, Plannet Bottling Company,,, Nothing /none,,,,,They should activate a app whereby the distributor can book a product directly and also laid complaint.,,,,,They should stop increasing the prices when the product is moving very well in the market /They should reduce much incr,"It is scarce, they should stop producing less quantity",, Nothing / none,,,,,Rank 1,,Rank 2,Rank 3,,,,,,
37,4046153.0,1.0,1999.0,Yes,,,Yes,Lagos,Dealer,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Quite Satisfied,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Quite Satisfied,Neither Satisfied Nor Dissatisfied,Quite Satisfied,Quite Satisfied,Neither Satisfied Nor Dissatisfied,"Coke 
Pepsi
Bigi
American Cola 
Rc
Razzle",Neither Better or Worse,Slightly Better,Better,Neither Better or Worse,Neither Better or Worse,Slightly Better,Slightly Better,Better,Better,Better,Extremely Satisfied,Extremely Dissatisfied,Prompt distribution of products,Nothing,The should stop producing bold product,3,7,No comment,Pricing of product,Quality of complaint resolution,Delivery time to location from the time of order,,,Rank 3,,,Rank 2,,Rank 1,,,Neutral, The Coca-Cola Company, 7up bottle company, Rite Foods Limited, Plannet Bottling Company, Razzle, They should work on their logistics  / The should work on logistics so that they can release products in time,,,,,Nothing,,,,,None,,, Nothing / none,,,,,,,Rank 3,,,Rank 2,,Rank 1,,
38,4046152.0,1.0,1993.0,Yes,,,Yes,Lagos,Dealer,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Neither Satisfied Nor Dissatisfied,Neither Satisfied Nor Dissatisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,"7up bottling company
Rite foods
Big
Planet bottling company",Neither Better or Worse,Slightly Better,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Slightly Better,Slightly Better,Slightly Better,Slightly Better,Quite Satisfied,Quite Satisfied,"They should work on customer demands 
The higher the demand should be equals to supply putting location into consideration",They should keep up with their fast delivery,They should stop postponing orders and stick to dealer's request,6,6,"They should try and understand the masses and reduce price
They bosses should come out and see what the market is like to be able to make changes",Ease of buying products,Pricing of product,Behaviour of supplier representative,,Rank 1,Rank 3,,,,Rank 2,,,,Neutral, 7up bottle company, Rite Foods Limited, Plannet Bottling Company,,, They should be attending to customers queries on time / They should timely respond to customer complaints,,,,,Delivery of product on time/Once we pay into their account they should supply us on time/More faster in supply/Swift de,,,,,Delay in supply / Delaying delivery of goods / They should be delivering promptly,,, They should make it more affordable for us/There should be reduction in price,,,,,,Rank 1,Rank 3,,,,Rank 2,,,
39,4046151.0,1.0,1961.0,Yes,,,Yes,Lagos,Dealer,Quite Satisfied,Extremely Satisfied,Quite Satisfied,Extremely Satisfied,Extremely Satisfied,Extremely Satisfied,Extremely Satisfied,Quite Satisfied,Quite Satisfied,Extremely Satisfied,"Pepsi 
Coke 
Bigi 
American Cola
Big",Neither Better or Worse,Slightly Worse,Better,Neither Better or Worse,Neither Better or Worse,Slightly Worse,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Neither Better or Worse,Extremely Satisfied,Neither Satisfied Nor Dissatisfied,They should try and work on the taste on their smoov products,The lacasera and water quality should be maintained,"They should stop increasing their price , and produce bigger size like American Cola with good quality",8,8,They should please give me my 500 packs of bold ginger that was expired and they came to pack from the store since 2022,Quality,Pricing of product,Packaging of product,Rank 1,,Rank 2,Rank 3,,,,,,,Agree, 7up bottle company, The Coca-Cola Company, Rite Foods Limited, Plannet Bottling Company,, They should improve on their taste,,,,,They should activate a app whereby the distributor can book a product directly and also laid complaint.,,,,,They should stop increasing the prices when the product is moving very well in the market /They should reduce much incr,,, They should please give me my 500 packs of bold ginger that was expired and they came to pack from the store since 2022,,,,,Rank 1,,Rank 2,Rank 3,,,,,,
40,4046148.0,1.0,1974.0,Yes,,,Yes,Lagos,Retailer,Quite Satisfied,Extremely Satisfied,Extremely Dissatisfied,Extremely Satisfied,Quite Satisfied,Quite Satisfied,Extremely Satisfied,Extremely Satisfied,Extremely Satisfied,Extremely Satisfied,Pepsi,Neither Better or Worse,Neither Better or Worse,Better,Neither Better or Worse,Better,Better,Neither Better or Worse,Neither Better or Worse,Slightly Worse,Neither Better or Worse,Extremely Satisfied,Extremely Satisfied,They should continue to supply weekly,They should continue producing the product,Nothing. I don't have complaints,10-Extremely  likely,10-Extremely  likely,Nothing more,Quality,Pricing of product,Packaging of product,Rank 2,,Rank 1,Rank 3,,,,,,,Agree, 7up bottle company,,,,, They should deliver goods on time/ Quick delivery / They should make the delivery more easier for us,,,,,Continue in quality/Maintain the quality of their products/Keep up with the quality of their products,,,,,None,,, Nothing / none,,,,,Rank 2,,Rank 1,Rank 3,,,,,,
41,4046136.0,1.0,1969.0,Yes,,,Yes,Lagos,Dealer,Neither Satisfied Nor Dissatisfied,Extremely Satisfied,Neither Satisfied Nor Dissatisfied,Quite Dissatisfied,Extremely Satisfied,Quite Dissatisfied,Quite Satisfied,Quite Dissatisfied,Quite Dissatisfied,Extremely Satisfied,"Coca cola
Pepsi
American cola",Slightly Better,Slightly Better,Neither Better or Worse,Slightly Better,Neither Better or Worse,Better,Neither Better or Worse,Slightly Worse,Neither Better or Worse,Neither Better or Worse,Quite Satisfied,Quite Satisfied,They should deliver product when I need it and at the price that was purchased,They should give a listening ears to their dealers and supply when needed,"They should stop changing my price, price that I paid for",5,5,They should learn to change their bad products.  They should check their productions. I have a lot of leakages here for over 2 years,Ease of buying products,Packaging of product,Delivery time to location from the time of order,,Rank 2,,Rank 1,,,,Rank 3,,,Neutral, The Coca-Cola Company, 7up bottle company, Plannet Bottling Company,,, They should deliver goods on time/ Quick delivery / They should make the delivery more easier for us,,,,,Delivery of product on time/Once we pay into their account they should supply us on time/More faster in supply/Swift de,,,,,They should stop increasing the prices when the product is moving very well in the market /They should reduce much incr,,, If there is leakage the company should compensate will the dealer/They should learn to change their bad products,,,,,,Rank 2,,Rank 1,,,,Rank 3,,
42,4046126.0,1.0,1994.0,Yes,,,Yes,Ibadan,Retailer,Quite Satisfied,Quite Satisfied,Quite Satisfied,Extremely Satisfied,Extremely Satisfied,Quite Satisfied,Extremely Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,"Bigi
Coca-cola
Pepsi",Better,Worse,Worse,Better,Slightly Worse,Slightly Worse,Worse,Slightly Worse,Better,Neither Better or Worse,Quite Satisfied,Quite Satisfied,They should increase the cl of their bottle to bigger size like coca-cola and pepsi,They should not reduce the apple flavour in the lacasera drink. That is the selling point of the drink,Nothing,8,9,The should always deliver their product ontime when we order.,Quality,Pricing of product,Delivery time to location from the time of order,Rank 2,,Rank 1,,,,,Rank 3,,,Agree, Rite Foods Limited, The Coca-Cola Company, 7up bottle company,,, They should improve on the quality of the product,,,,,They should improve the quality of their packaging,,,,,None,,," They should be supply me product on time/They should stop delay, and respond fast /Just improve in fastness in services",,,,,Rank 2,,Rank 1,,,,,Rank 3,,
43,4046107.0,1.0,2008.0,Yes,,,Yes,Port Harcourt,Retailer,Extremely Satisfied,Quite Satisfied,Extremely Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Extremely Satisfied,Extremely Satisfied,Pepsi,Slightly Better,Better,Better,Slightly Better,Slightly Better,Better,Better,Slightly Better,Slightly Better,Slightly Better,Extremely Satisfied,Quite Satisfied,None,None,They should stop using chemical to produce it,10-Extremely  likely,7,None,Quality,Ease of buying products,Pricing of product,Rank 1,Rank 2,Rank 3,,,,,,,,Strongly Agree, 7up bottle company,,,,, Nothing /none,,,,,Nothing,,,,,It is very acidic in the sense that people complain to the point that it is use for cleaning a rotten iron and as we us,,, Nothing / none,,,,,Rank 1,Rank 2,Rank 3,,,,,,,
44,4046106.0,1.0,1989.0,Yes,,,Yes,Port Harcourt,Retailer,Quite Satisfied,Quite Satisfied,Quite Dissatisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Satisfied,Quite Dissatisfied,Quite Dissatisfied,Quite Dissatisfied,Smoof,Better,Better,Slightly Better,Slightly Better,Better,Slightly Better,Slightly Better,Better,Slightly Better,Slightly Better,Extremely Dissatisfied,Quite Satisfied,"They should reduce their prices
They should Improve in their bottle size",They should Improve in their packaging,They should stop using the ingredients they use in producing it because it taste bleachy,6,6,None,Quality,Ease of buying products,Behaviour of supplier representative,Rank 3,Rank 1,,,,,Rank 2,,,,Disagree, None,,,,, The price of the product should be reduced / They should reduce the product price,,,,,Their packaging is really strong /Packaging is handy so keep it up / They should continue in the way they package their,,,,,It is very acidic in the sense that people complain to the point that it is use for cleaning a rotten iron and as we us,,, Nothing / none,,,,,Rank 3,Rank 1,,,,,Rank 2,,,
